Day,StartHour,Duration,Type,Professor,Classroom,Subject,SubjectCode,StudentGroups
"Piatok",14,2,"L","Ing. Michal Mulík PhD.","RA012 / FRA12","vývoj aplikácií pre mobilné zariadenia","6BI0048","5ZYI21..."
"Pondelok",14,2,"P","prof. RNDr. Jaroslav Janáček CSc.","AR1A3 / NR3","diskrétna optimalizácia","6BA0004","5ZYI21..."
"Utorok",8,2,"P","doc. Ing. Michal Kvet PhD.","AR1A3 / NR3","databázové systémy","6BI0005","5ZYS21..."
"Utorok",10,2,"P","prof. Ing. Ľuboš Buzna PhD.","RA222","diskrétna optimalizácia","6BA0004","5ZYI24"
"Streda",8,2,"P","RNDr. Ida Stankovianska CSc.","AR1A3 / NR3","pravdepodobnosť a štatistika","6UA0002","5ZYI21..."
"Streda",10,2,"L","Ing. Michal Ďuračík PhD.","AF3A6 / AULA6","vývoj aplikácií pre mobilné zariadenia","6BI0048","5ZYI21..."
"Streda",12,2,"L","Ing. Michal Mulík PhD.","RA012 / FRA12","jazyk C# a .NET","6BI0016","5ZYI21..."
"Streda",14,1,"X","Mark Zenner","RA320 /","jazyk anglický 2","6BJ0006","5ZYI21..."
"Streda",18,1,"P","Ing. Michal Varga PhD.","RA013 / FRA13","algoritmy a údajové štruktúry 1","6UI0004","5ZYI24"
"Streda",19,2,"P","Ing. Peter Sedláček PhD.","RA013 / FRA13","databázové systémy","6BI0005","5ZYI24"
"Štvrtok",8,2,"L","prof. Ing. Emil Kršák PhD.","AR1A3 / NR3","jazyk C# a .NET","6BI0016","5ZYI21..."
"Štvrtok",10,2,"P","RNDr. Alžbeta Klaudinyová","RA006 / FRA6","pravdepodobnosť a štatistika","6UA0002","5ZYI24"
"Pondelok",9,2,"P","Ing. Michal Varga PhD.","BG2A1 D...","algoritmy a údajové štruktúry 1","6UI0004","5ZYR21..."
